Titik,Z,FAA,Koreksi_Bouguer,ABS_mGal
Grav 101,432.9221,162.88652203875756,39.02195173457849,123.86457030417907
Grav 102,335.94638,153.83589024481805,30.280929122736776,123.55496112208127
Grav 103,256.19146,146.975198994482,23.092123933916046,123.88307506056597
Grav 104,231.34814,143.69300224355572,20.852841545775803,122.84016069777992
Grav 105,207.92376,142.42987209676147,18.741457013148743,123.68841508361272
Grav 106,170.01791,139.85105214469743,15.324767846302855,124.52628429839459
Grav 107,211.0634,141.61538633856924,19.024452223012023,122.59093411555722
Grav 108,197.64608,142.10409623126273,17.81506602293724,124.28903020832549
Grav 109,150.85434,140.9662274078076,13.597436523641766,127.36879088416583
Grav 110,132.97559,136.71465099154776,11.985913989738798,124.72873700180895
Grav 111,136.10846,137.14763218702143,12.26829897754771,124.87933320947371
Grav 112,133.23933,136.38954705683227,12.00968651036197,124.3798605464703
GRAV 113,123.43354,135.26843816428587,11.125829890200022,124.14260827408584
GRAV 114,123.48839,134.0332954665611,11.130773860610962,122.90252160595014
GRAV 115,131.25791,133.3612122092626,11.83108884670394,121.53012336255865
GRAV 116,140.69193,134.46663987031718,12.681435532869992,121.78520433744718
GRAV 117,143.95067,134.41031036624153,12.975165963807891,121.43514440243364
Grav 118,145.87005,135.08198287617927,13.148171577797832,121.93381129838144
Grav 119,145.54259,136.97691583921602,13.11865557869544,123.85826026052058
Grav 120,148.44488,138.32043888894322,13.38025696217702,124.9401819267662
Grav 121,160.04681,140.3070475095506,14.426010811398294,125.88103669815231
Grav 122,176.4134,144.26097791411564,15.901232993494416,128.35974492062124
Grav 123,149.38774,140.62725822625825,13.465242776974797,127.16201544928344
Grav 124,178.078,144.8987135945133,16.051273707187203,128.84743988732612
Grav 125,164.83512,144.5419371511107,14.857610865334555,129.68432628577614
Grav 126,163.48545,144.4164295366967,14.735956744194496,129.6804727925022
Grav 127,166.20167,144.90510412736663,14.980786485481666,129.92431764188495
Grav 128,370.62469,161.8620373425648,33.40670010799429,128.45533723457052
Grav 129,270.2919,151.69669044986938,24.36308397295383,127.33360647691555
Grav 130,192.52095,144.87703039758864,17.353106295093735,127.5239241024949
Grav 131,167.62832,142.7217760100412,15.109379291074488,127.6123967189667
Grav 132,132.36809,139.72270282158107,11.9311562500005,127.79154657158057
Grav 133,127.40692,138.80565166124367,11.48397525303352,127.32167640821015
Grav 134,123.45861,137.15048135343898,11.128089604661321,126.02239174877765
Grav 135,120.92048,136.7998837383533,10.899312218715707,125.90057151963758
Grav 136,103.32668,135.2949154862095,9.313473994176404,125.9814414920331
Grav 137,124.55055,135.82040835383899,11.226512923722778,124.5938954301162
Grav 138,130.01225,135.76803255687594,11.718809791424258,124.04922276545167
Grav 139,133.99204,136.23484098956135,12.077532927281167,124.15730806228018
Grav 140,137.09746,136.44373385250955,12.357443676479685,124.08629017602986
Grav 141,136.12686,136.85814363397492,12.26995748357435,124.58818615040057
Grav 142,138.22782,136.64476364801402,12.459330028233724,124.1854336197803
Grav 143,136.70958,136.14625068888017,12.322481648348505,123.82376904053167
Grav 144,136.97314,136.74218370183615,12.346237944456202,124.39594575737995
Grav 145,141.88155,137.9420511099222,12.788663355664182,125.15338775425802
Grav 146,137.77286,139.23888418264988,12.418321664001075,126.82056251864881
Grav 147,141.04979,139.7320361191305,12.713691672364224,127.01834444676628
Grav 148,145.4642,141.23641104637522,13.111589802204767,128.12482124417045
Grav 149,145.29482,142.04461613437036,13.096322533139954,128.9482936012304
Grav 150,145.19623,143.42683465829577,13.087436005467861,130.33939865282792
Grav 151,144.44712,144.43032596597175,13.019914078858223,131.41041188711353
Grav 152,144.31915,145.14999269359038,13.008379349715327,132.14161334387506
Grav 153,192.55488,150.20250309286968,17.35616461626134,132.84633847660834
Grav 154,217.74457,151.40795380830448,19.626667478991134,131.78128632931336
Grav 155,150.74458,145.9100551562524,13.587543174648063,132.32251198160435
Grav 156,149.76582,144.02907642015046,13.499321470374392,130.52975494977608
